PoleNum,Latitude,Longitude,Ownership%,Owner1,Owner2,Owner3,Attachment#,"Renter Company","Start Date","Attachment Asset Type","Attachment Type","Attachment Method","Colashed to",Comment1,Comment2,"Pole Status","Attachment Status","Pole Mobile3","Valid Attachment","Data as of"
1334828,47.666355573704,-122.3172902978,100,SCL,,,3429403,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1329136,47.666481595991,-122.312039757,100,SCL,,,3429386,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1334608,47.66705923501,-122.3184775157,50,SCL,CLINK,,3429397,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1334609,47.667065932162,-122.31960415,100,SCL,,,3429398,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1334829,47.666177125041,-122.3172999144,50,SCL,CLINK,,3429404,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1334866,47.666499826992,-122.3136554328,33,SCL,CLINK,METRO,3429406,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1334843,47.666836987904,-122.3172891171,100,SCL,,,3429405,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
2858656,47.66638220646,-122.3164460937,100,SCL,,,3429418,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1334720,47.667165382631,-122.3180597765,100,SCL,,,3429402,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1334588,47.666496392038,-122.3152907896,100,SCL,,,3429396,"AT&T CORP",2021/07/09,JUATTACH,CABLE,DIRECT,,"App# 20-117",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
